final_date,tr_streams,tr_rank,yt_views,google_search_interest,spotify_z,youtube_z,trends_z
2018-01-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2018-02-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2018-03-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2018-04-01,0,0,120000,8,,-1.4993523649028042,0.4831848531754213
2018-05-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2018-06-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2018-07-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2018-08-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2018-09-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2018-10-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2018-11-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2018-12-01,0,0,120000,4,,-1.4993523649028042,-0.9256550498211156
2019-01-01,0,0,120000,4,,-1.4993523649028042,-0.9256550498211156
2019-02-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2019-03-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2019-04-01,0,0,120000,4,,-1.4993523649028042,-0.9256550498211156
2019-05-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2019-06-01,0,0,120000,5,,-1.4993523649028042,-0.4886565608701177
2019-07-01,0,0,127000,5,,-1.4408727430603543,-0.4886565608701177
2019-08-01,0,0,270000,5,,-0.6628990908433714,-0.4886565608701177
2019-09-01,0,0,250000,5,,-0.742282536203669,-0.4886565608701177
2019-10-01,0,0,320000,5,,-0.48765228167141317,-0.4886565608701177
2019-11-01,0,0,290000,5,,-0.5891908841747353,-0.4886565608701177
2019-12-01,0,0,260000,4,,-0.7018273257812776,-0.9256550498211156
2020-01-01,0,0,290000,5,,-0.5891908841747353,-0.4886565608701177
2020-02-01,0,0,300000,5,,-0.5542222406651947,-0.4886565608701177
2020-03-01,0,0,460000,6,,-0.11332361595474356,-0.11917960301696608
2020-04-01,0,0,530000,7,,0.03278571955377536,0.2008758957981563
2020-05-01,0,0,520000,6,,0.01313793070489902,-0.11917960301696608
2020-06-01,0,0,440000,5,,-0.1591746043814508,-0.4886565608701177
2020-07-01,0,0,600000,8,,0.16074328030152849,0.4831848531754213
2020-08-01,0,0,620000,6,,0.19456526118153794,-0.11917960301696608
2020-09-01,0,0,940000,10,,0.6238256930446225,0.9641635823819161
2020-10-01,15000000,0,4900000,100,1.0760780215931376,2.32691186796853,6.278532866787224
2020-11-01,8000000,0,2500000,27,-0.5049408332464438,1.6327835122740864,3.2035681384106605
2020-12-01,6000000,0,1670000,17,-1.228492362897543,1.2166155918052752,2.1445587238892343
2021-01-01,29500000,0,1380000,14,2.77714659913171,1.0198711539443825,1.707560234938237
2021-02-01,26523178,0,1330000,10,2.5096113173239587,0.9818048810344562,0.9641635823819161
2021-03-01,23834437,0,1540000,10,2.2407776031800233,1.13302328163706,0.9641635823819161
2021-04-01,20857615,0,1580000,10,1.9052310579066745,1.159472911103372,0.9641635823819161
2021-05-01,17976821,0,1590000,9,1.531395648333576,1.1659806868917393,0.7357188208926975
2021-06-01,15000000,0,1420000,8,1.0760780215931376,1.0493439862884477,0.4831848531754213
2021-07-01,14508196,0,1320000,8,0.992233187246282,0.9740200975679638,0.4831848531754213
2021-08-01,14000000,0,1170000,8,0.9025534739608605,0.8495948780978491,0.4831848531754213
2021-09-01,13491803,0,1180000,8,0.8095573081916281,0.8583734741812822,0.4831848531754213
2021-10-01,13000000,0,1120000,8,0.7161638948506522,0.8045449764192695,0.4831848531754213
2021-11-01,12491803,0,1140000,7,0.6158697039225821,0.8228017145914378,0.2008758957981563
2021-12-01,12000000,0,1110000,7,0.5148478141124998,0.7952939837676064,0.2008758957981563
2022-01-01,8000000,0,1050000,7,-0.5049408332464438,0.737974863932123,0.2008758957981563
2022-02-01,7794701,0,970000,7,-0.5703271020084523,0.6562308275116341,0.2008758957981563
2022-03-01,7609271,0,1000000,7,-0.6308827877137934,0.6876488495554834,0.2008758957981563
2022-04-01,7403973,0,860000,8,-0.6996725669130366,0.5320782696683602,0.4831848531754213
2022-05-01,7205298,0,870000,7,-0.76808391013872,0.544003009408097,0.2008758957981563
2022-06-01,7000000,0,720000,7,-0.8407867329909474,0.3488039769689117,0.2008758957981563
2022-07-01,7081967,0,740000,6,-0.8115069882076962,0.377065423697756,-0.11917960301696608
2022-08-01,7166666,0,760000,7,-0.7816052205509986,0.4045731422944977,0.2008758957981563
2022-09-01,7251366,0,520000,6,-0.7520544311470275,0.01313793070489902,-0.11917960301696608
2022-10-01,7333333,0,490000,6,-0.7237839754913894,-0.04815599927553606,-0.11917960301696608
2022-11-01,7418032,0,520000,6,-0.6949012938415378,0.01313793070489902,-0.11917960301696608
2022-12-01,7500000,0,700000,8,-0.6672621973353744,0.3197463304125255,0.4831848531754213
2023-01-01,7200000,0,480000,5,-0.76993393000564,-0.06942433142680983,-0.4886565608701177
2023-02-01,7158940,0,470000,5,-0.7843180869632732,-0.09114044973355523,-0.4886565608701177
2023-03-01,7121854,0,820000,5,-0.7973811577666831,0.48295096288844264,-0.4886565608701177
2023-04-01,7080794,0,810000,5,-0.8119236049812464,0.47029462709454684,-0.4886565608701177
2023-05-01,7041059,0,770000,5,-0.8260772839690828,0.41805671133316885,-0.4886565608701177
2023-06-01,7000000,0,860000,5,-0.8407867329909474,0.5320782696683602,-0.4886565608701177
2023-07-01,7350467,0,1120000,5,-0.7179143936055495,0.8045449764192695,-0.4886565608701177
2023-08-01,7712616,0,1130000,5,-0.596953833805336,0.8137137370104847,-0.4886565608701177
2023-09-01,8074766,0,1220000,5,-0.4815444196381506,0.8927592860205779,-0.4886565608701177
