final_date,tr_streams,tr_rank,yt_views,google_search_interest,spotify_z,youtube_z,trends_z
2019-01-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2019-02-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2019-03-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2019-04-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2019-05-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2019-06-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2019-07-01,10373,0,250000,7,-1.37147200103761,-0.7267128941856272,-0.2735792149603844
2019-08-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2019-09-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2019-10-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2019-11-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2019-12-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2020-01-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2020-02-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2020-03-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2020-04-01,0,0,250000,9,,-0.7267128941856272,0.25282146108800285
2020-05-01,0,0,250000,8,,-0.7267128941856272,0.004273625650041776
2020-06-01,0,0,250000,8,,-0.7267128941856272,0.004273625650041776
2020-07-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2020-08-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2020-09-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2020-10-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2020-11-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2020-12-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2021-01-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2021-02-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2021-03-01,0,0,250000,7,,-0.7267128941856272,-0.2735792149603844
2021-04-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2021-05-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2021-06-01,0,0,250000,5,,-0.7267128941856272,-0.9522277196280389
2021-07-01,0,0,250000,5,,-0.7267128941856272,-0.9522277196280389
2021-08-01,0,0,250000,5,,-0.7267128941856272,-0.9522277196280389
2021-09-01,0,0,250000,5,,-0.7267128941856272,-0.9522277196280389
2021-10-01,0,0,250000,5,,-0.7267128941856272,-0.9522277196280389
2021-11-01,0,0,250000,5,,-0.7267128941856272,-0.9522277196280389
2021-12-01,0,0,250000,5,,-0.7267128941856272,-0.9522277196280389
2022-01-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2022-02-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2022-03-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2022-04-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2022-05-01,0,0,250000,6,,-0.7267128941856272,-0.5885827852506773
2022-06-01,0,0,250000,8,,-0.7267128941856272,0.004273625650041776
2022-07-01,54529039,0,980000,100,1.0370601697438557,1.9734421405818614,5.708144742130979
2022-08-01,32496868,0,980000,33,0.8915478229237369,1.9734421405818614,3.139735336677407
2022-09-01,14401814,0,700000,17,0.6627634585240966,1.3083856776918759,1.6394234755957768
2022-10-01,296240,0,590000,13,-0.4291452844935949,0.9704780082017903,1.0465670646950578
2022-11-01,0,0,480000,11,,0.5626426164422289,0.6829221303176969
2022-12-01,0,0,530000,15,,0.7585012558075253,1.3615706349853514
2023-01-01,0,0,690000,12,,1.279945528304267,0.8717446850540557
2023-02-01,0,0,730000,10,,1.3913302823095093,0.47766032731471936
2023-03-01,0,0,900000,10,,1.8051228767099847,0.47766032731471936
2023-04-01,0,0,820000,12,,1.621124365797199,0.8717446850540557
2023-05-01,0,0,920000,10,,1.8485654376025207,0.47766032731471936
2023-06-01,0,0,900000,10,,1.8051228767099847,0.47766032731471936
2023-07-01,0,0,760000,9,,1.4709339182759147,0.25282146108800285
2023-08-01,0,0,680000,9,,1.2510901802184806,0.25282146108800285
2023-09-01,0,0,690000,8,,1.279945528304267,0.004273625650041776
2023-10-01,0,0,700000,8,,1.3083856776918759,0.004273625650041776
2023-11-01,0,0,570000,8,,0.9023141597445221,0.004273625650041776
2023-12-01,0,0,570000,9,,0.9023141597445221,0.25282146108800285
2024-01-01,0,0,570000,8,,0.9023141597445221,0.004273625650041776
2024-02-01,0,0,650000,8,,1.1619071062902564,0.004273625650041776
2024-03-01,0,0,770000,9,,1.4967716266066131,0.25282146108800285
2024-04-01,0,0,530000,7,,0.7585012558075253,-0.2735792149603844
2024-05-01,0,0,520000,9,,0.7208514439391355,0.25282146108800285
2024-06-01,81852,0,620000,13,-0.7907541656604848,1.068509132688182,1.0465670646950578
