final_date,yt_views,sp_streams,trends_interest,spotify_z,youtube_z,trends_z
2011-01-01,27000.0,0.0,1.0,-0.21774130170462355,-0.5211577159633618,-0.15909224815443915
2011-02-01,76000.0,0.0,1.0,-0.21774130170462355,-0.5093353946354757,-0.15909224815443915
2011-03-01,97000.0,0.0,1.0,-0.21774130170462355,-0.5042686854949531,-0.15909224815443915
2011-04-01,99000.0,0.0,1.0,-0.21774130170462355,-0.5037861417672842,-0.15909224815443915
2011-05-01,169000.0,0.0,1.0,-0.21774130170462355,-0.48689711129887553,-0.15909224815443915
2011-06-01,140000.0,0.0,1.0,-0.21774130170462355,-0.49389399535007344,-0.15909224815443915
2011-07-01,158000.0,0.0,1.0,-0.21774130170462355,-0.48955110180105404,-0.15909224815443915
2011-08-01,220000.0,0.0,1.0,-0.21774130170462355,-0.47459224624332064,-0.15909224815443915
2011-09-01,220000.0,0.0,1.0,-0.21774130170462355,-0.47459224624332064,-0.15909224815443915
2011-10-01,230000.0,0.0,1.0,-0.21774130170462355,-0.47217952760497656,-0.15909224815443915
2011-11-01,260000.0,0.0,1.0,-0.21774130170462355,-0.46494137168994426,-0.15909224815443915
2011-12-01,230000.0,0.0,1.0,-0.21774130170462355,-0.47217952760497656,-0.15909224815443915
2012-01-01,240000.0,0.0,1.0,-0.21774130170462355,-0.4697668089666325,-0.15909224815443915
2012-02-01,230000.0,0.0,1.0,-0.21774130170462355,-0.47217952760497656,-0.15909224815443915
2012-03-01,240000.0,0.0,1.0,-0.21774130170462355,-0.4697668089666325,-0.15909224815443915
2012-04-01,240000.0,0.0,1.0,-0.21774130170462355,-0.4697668089666325,-0.15909224815443915
2012-05-01,350000.0,0.0,1.0,-0.21774130170462355,-0.4432269039448474,-0.15909224815443915
2012-06-01,240000.0,0.0,1.0,-0.21774130170462355,-0.4697668089666325,-0.15909224815443915
2012-07-01,230000.0,0.0,1.0,-0.21774130170462355,-0.47217952760497656,-0.15909224815443915
2012-08-01,430000.0,0.0,1.0,-0.21774130170462355,-0.42392515483809456,-0.15909224815443915
2012-09-01,300000.0,0.0,1.0,-0.21774130170462355,-0.45529049713656783,-0.15909224815443915
2012-10-01,310000.0,0.0,1.0,-0.21774130170462355,-0.45287777849822375,-0.15909224815443915
2012-11-01,290000.0,0.0,1.0,-0.21774130170462355,-0.45770321577491196,-0.15909224815443915
2012-12-01,290000.0,0.0,1.0,-0.21774130170462355,-0.45770321577491196,-0.15909224815443915
2013-01-01,260000.0,0.0,1.0,-0.21774130170462355,-0.46494137168994426,-0.15909224815443915
2013-02-01,240000.0,0.0,1.0,-0.21774130170462355,-0.4697668089666325,-0.15909224815443915
2013-03-01,260000.0,0.0,1.0,-0.21774130170462355,-0.46494137168994426,-0.15909224815443915
2013-04-01,250000.0,0.0,1.0,-0.21774130170462355,-0.46735409032828834,-0.15909224815443915
2013-05-01,240000.0,0.0,1.0,-0.21774130170462355,-0.4697668089666325,-0.15909224815443915
2013-06-01,210000.0,0.0,1.0,-0.21774130170462355,-0.4770049648816648,-0.15909224815443915
2013-07-01,200000.0,0.0,1.0,-0.21774130170462355,-0.47941768352000885,-0.15909224815443915
2013-08-01,220000.0,0.0,1.0,-0.21774130170462355,-0.47459224624332064,-0.15909224815443915
2013-09-01,250000.0,0.0,1.0,-0.21774130170462355,-0.46735409032828834,-0.15909224815443915
2013-10-01,290000.0,0.0,1.0,-0.21774130170462355,-0.45770321577491196,-0.15909224815443915
2013-11-01,270000.0,0.0,1.0,-0.21774130170462355,-0.4625286530516001,-0.15909224815443915
2013-12-01,240000.0,0.0,1.0,-0.21774130170462355,-0.4697668089666325,-0.15909224815443915
2014-01-01,270000.0,0.0,1.0,-0.21774130170462355,-0.4625286530516001,-0.15909224815443915
2014-02-01,240000.0,0.0,1.0,-0.21774130170462355,-0.4697668089666325,-0.15909224815443915
2014-03-01,400000.0,0.0,1.0,-0.21774130170462355,-0.43116331075312686,-0.15909224815443915
2014-04-01,290000.0,0.0,1.0,-0.21774130170462355,-0.45770321577491196,-0.15909224815443915
2014-05-01,250000.0,0.0,1.0,-0.21774130170462355,-0.46735409032828834,-0.15909224815443915
2014-06-01,220000.0,0.0,1.0,-0.21774130170462355,-0.47459224624332064,-0.15909224815443915
2014-07-01,240000.0,0.0,1.0,-0.21774130170462355,-0.4697668089666325,-0.15909224815443915
2014-08-01,530000.0,0.0,1.0,-0.21774130170462355,-0.39979796845465354,-0.15909224815443915
2014-09-01,470000.0,0.0,1.0,-0.21774130170462355,-0.4142742802847182,-0.15909224815443915
2014-10-01,370000.0,0.0,1.0,-0.21774130170462355,-0.43840146666815916,-0.15909224815443915
2014-11-01,390000.0,0.0,1.0,-0.21774130170462355,-0.43357602939147094,-0.15909224815443915
2014-12-01,340000.0,0.0,1.0,-0.21774130170462355,-0.44563962258319145,-0.15909224815443915
2015-01-01,360000.0,0.0,1.0,-0.21774130170462355,-0.44081418530650324,-0.15909224815443915
2015-02-01,300000.0,0.0,1.0,-0.21774130170462355,-0.45529049713656783,-0.15909224815443915
2015-03-01,350000.0,0.0,1.0,-0.21774130170462355,-0.4432269039448474,-0.15909224815443915
2015-04-01,330000.0,0.0,1.0,-0.21774130170462355,-0.44805234122153553,-0.15909224815443915
2015-05-01,300000.0,0.0,1.0,-0.21774130170462355,-0.45529049713656783,-0.15909224815443915
2015-06-01,270000.0,0.0,1.0,-0.21774130170462355,-0.4625286530516001,-0.15909224815443915
2015-07-01,300000.0,0.0,1.0,-0.21774130170462355,-0.45529049713656783,-0.15909224815443915
2015-08-01,410000.0,0.0,1.0,-0.21774130170462355,-0.4287505921147828,-0.15909224815443915
2015-09-01,340000.0,0.0,1.0,-0.21774130170462355,-0.44563962258319145,-0.15909224815443915
2015-10-01,380000.0,0.0,1.0,-0.21774130170462355,-0.4359887480298151,-0.15909224815443915
2015-11-01,370000.0,0.0,1.0,-0.21774130170462355,-0.43840146666815916,-0.15909224815443915
2015-12-01,390000.0,0.0,1.0,-0.21774130170462355,-0.43357602939147094,-0.15909224815443915
2016-01-01,410000.0,0.0,1.0,-0.21774130170462355,-0.4287505921147828,-0.15909224815443915
2016-02-01,370000.0,0.0,1.0,-0.21774130170462355,-0.43840146666815916,-0.15909224815443915
2016-03-01,400000.0,0.0,1.0,-0.21774130170462355,-0.43116331075312686,-0.15909224815443915
2016-04-01,370000.0,0.0,1.0,-0.21774130170462355,-0.43840146666815916,-0.15909224815443915
2016-05-01,380000.0,0.0,1.0,-0.21774130170462355,-0.4359887480298151,-0.15909224815443915
2016-06-01,340000.0,0.0,1.0,-0.21774130170462355,-0.44563962258319145,-0.15909224815443915
2016-07-01,380000.0,0.0,1.0,-0.21774130170462355,-0.4359887480298151,-0.15909224815443915
2016-08-01,400000.0,0.0,1.0,-0.21774130170462355,-0.43116331075312686,-0.15909224815443915
2016-09-01,440000.0,0.0,1.0,-0.21774130170462355,-0.4215124361997505,-0.15909224815443915
2016-10-01,500000.0,0.0,1.0,-0.21774130170462355,-0.4070361243696859,-0.15909224815443915
2016-11-01,520000.0,0.0,1.0,-0.21774130170462355,-0.4022106870929977,-0.15909224815443915
2016-12-01,490000.0,0.0,1.0,-0.21774130170462355,-0.40944884300803,-0.15909224815443915
2017-01-01,450000.0,0.0,1.0,-0.21774130170462355,-0.41909971756140635,-0.15909224815443915
2017-02-01,430000.0,0.0,1.0,-0.21774130170462355,-0.42392515483809456,-0.15909224815443915
2017-03-01,520000.0,0.0,1.0,-0.21774130170462355,-0.4022106870929977,-0.15909224815443915
