config,TPR,FA
"amp_endo [0.5,1.5]",71.66666666666667,2.3333333333333335
"amp_endo [1.0,2.0]",75.33333333333333,2.3333333333333335
"amp_endo [1.5,2.5]",75.5,2.3333333333333335
"amp_exo [1.0,2.0]",74.16666666666667,2.3333333333333335
"amp_exo [1.5,2.5]",75.33333333333333,2.3333333333333335
"amp_exo [2.0,3.0]",75.16666666666667,2.3333333333333335
"censor_lo=0.3,hi=0.7",75.33333333333333,2.3333333333333335
"censor_lo=0.5,hi=0.9",75.33333333333333,2.3333333333333335
"censor_lo=0.7,hi=1.1",75.33333333333333,2.3333333333333335
AR sigma=0.08,80.5,2.0
AR sigma=0.15,75.33333333333333,2.3333333333333335
AR sigma=0.25,67.0,2.3333333333333335
lead_yt_max=1,75.5,3.0
lead_yt_max=3,75.33333333333333,2.3333333333333335
lead_yt_max=5,76.33333333333333,2.3333333333333335
burst_prob=0.0,53.5,1.3333333333333335
burst_prob=0.5,75.33333333333333,2.3333333333333335
burst_prob=1.0,97.33333333333334,2.3333333333333335
