mechanism,rule,TPR_mean,TPR_std,FA_mean,FA_std
Chart censoring (default),2-of-3,74.93333333333332,1.4073221221723022,2.4,0.7601169500660919
Chart censoring (default),3-of-3,0.0,0.0,0.0,0.0
MCAR (p_miss=0.50),2-of-3,75.53333333333333,1.9628494027249705,3.9333333333333336,0.7226494462892933
MCAR (p_miss=0.50),3-of-3,24.4,0.8787617550976051,0.0,0.0
MCAR (p_miss=0.70),2-of-3,75.46666666666667,1.7888543819998273,3.1333333333333337,0.8692269873603532
MCAR (p_miss=0.70),3-of-3,7.6,0.9098229375970792,0.0,0.0
Threshold-shift (rate=0.02),2-of-3,74.83333333333333,1.4577379737113245,2.2666666666666666,0.9545214042184236
Threshold-shift (rate=0.02),3-of-3,0.0,0.0,0.0,0.0
Partial censor (prob=0.70),2-of-3,76.06666666666668,0.9174239296348586,2.4,1.299572579307862
Partial censor (prob=0.70),3-of-3,46.03333333333333,1.5156590059186235,0.0,0.0
